"Symbol" "moduleLabel"
"ENSG00000023171" "M3"
"ENSG00000023191" "M0"
"ENSG00000023228" "M0"
"ENSG00000023287" "M0"
"ENSG00000023318" "M0"
"ENSG00000023330" "M0"
"ENSG00000023516" "M0"
"ENSG00000023572" "M0"
"ENSG00000023608" "M15"
"ENSG00000023697" "M0"
"ENSG00000023734" "M0"
"ENSG00000023902" "M0"
"ENSG00000023909" "M0"
"ENSG00000024048" "M0"
"ENSG00000024422" "M17"
"ENSG00000024526" "M11"
"ENSG00000024862" "M0"
"ENSG00000025039" "M0"
"ENSG00000025156" "M0"
"ENSG00000025293" "M0"
"ENSG00000025434" "M0"
"ENSG00000025770" "M3"
"ENSG00000025772" "M18"
"ENSG00000025796" "M0"
"ENSG00000025800" "M0"
"ENSG00000026025" "M8"
"ENSG00000026036" "M3"
"ENSG00000026103" "M9"
"ENSG00000026297" "M0"
"ENSG00000026508" "M0"
"ENSG00000026559" "M5"
"ENSG00000026652" "M0"
"ENSG00000026950" "M13"
"ENSG00000027001" "M0"
"ENSG00000027697" "M0"
"ENSG00000027847" "M0"
"ENSG00000028203" "M0"
"ENSG00000028277" "M2"
"ENSG00000028310" "M0"
"ENSG00000028528" "M0"
"ENSG00000028839" "M0"
"ENSG00000029153" "M0"
"ENSG00000029363" "M0"
"ENSG00000029364" "M0"
"ENSG00000029534" "M2"
"ENSG00000029639" "M6"
"ENSG00000029725" "M0"
"ENSG00000029993" "M0"
"ENSG00000030066" "M20"
"ENSG00000030110" "M0"
"ENSG00000030419" "M20"
"ENSG00000030582" "M0"
"ENSG00000031003" "M0"
"ENSG00000031081" "M4"
"ENSG00000031691" "M0"
"ENSG00000031698" "M18"
"ENSG00000031823" "M0"
"ENSG00000032219" "M0"
"ENSG00000032389" "M0"
"ENSG00000032444" "M3"
"ENSG00000032742" "M0"
"ENSG00000033011" "M12"
"ENSG00000033030" "M0"
"ENSG00000033050" "M0"
"ENSG00000033100" "M16"
"ENSG00000033122" "M14"
"ENSG00000033170" "M6"
"ENSG00000033178" "M0"
"ENSG00000033327" "M6"
"ENSG00000033627" "M0"
"ENSG00000033800" "M0"
"ENSG00000033867" "M0"
"ENSG00000034053" "M0"
"ENSG00000034063" "M0"
"ENSG00000034152" "M8"
"ENSG00000034510" "M0"
"ENSG00000034533" "M10"
"ENSG00000034677" "M6"
"ENSG00000034693" "M0"
"ENSG00000034713" "M0"
"ENSG00000035115" "M0"
"ENSG00000035141" "M0"
"ENSG00000035403" "M18"
"ENSG00000035499" "M11"
"ENSG00000035681" "M0"
"ENSG00000035687" "M0"
"ENSG00000035862" "M17"
"ENSG00000035928" "M0"
"ENSG00000036054" "M0"
"ENSG00000036257" "M0"
"ENSG00000036448" "M14"
"ENSG00000036530" "M2"
"ENSG00000036549" "M0"
"ENSG00000036672" "M0"
"ENSG00000037042" "M5"
"ENSG00000037241" "M0"
"ENSG00000037474" "M0"
"ENSG00000037637" "M0"
"ENSG00000037749" "M0"
"ENSG00000037757" "M18"
"ENSG00000037897" "M0"
"ENSG00000037965" "M20"
"ENSG00000038002" "M0"
"ENSG00000038210" "M2"
"ENSG00000038219" "M0"
"ENSG00000038274" "M18"
"ENSG00000038358" "M0"
"ENSG00000038382" "M0"
"ENSG00000038427" "M0"
"ENSG00000038532" "M0"
"ENSG00000039068" "M3"
"ENSG00000039123" "M0"
"ENSG00000039319" "M0"
"ENSG00000039523" "M3"
"ENSG00000039560" "M0"
"ENSG00000039650" "M0"
"ENSG00000040199" "M0"
"ENSG00000040275" "M0"
"ENSG00000040341" "M2"
"ENSG00000040487" "M0"
"ENSG00000040531" "M0"
