"Ensembl","Gene","logFC","rawFC","FoldChange","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSG00000230319","",6.17776909677275,72.392538274857,"72.392538274857",-2.46157763447553,73.0080075900896,7.02514275443611e-24,4.89308666402597e-23,10.0764022958017
"ENSG00000227992","",-4.49609827654914,0.0443138573471972,"-22.5663045346074",-2.1644785011769,-19.5054747464385,7.04764728131679e-24,4.90667336029745e-23,-10.0760879234164
"ENSG00000118513","MYB",-7.67828450023404,0.00488209302318314,"-204.830181492117",-0.24218081068446,-64.9188200916808,7.31423050744684e-24,5.09010735314157e-23,-10.0724377822725
"ENSG00000101438","SLC32A1",10.2050317159371,1180.37676801818,"1180.37676801818",-0.850343406044718,51.4979328757183,7.55592191655524e-24,5.25607012027948e-23,10.0692406024596
"ENSG00000188316","ENO4",6.76069324687187,108.435493117908,"108.435493117908",-2.22595451196461,87.5137323922792,7.61747619199105e-24,5.29663765125359e-23,10.0684425245178
"ENSG00000196639","HRH1",7.85513050204573,231.542064337842,"231.542064337842",-1.81208977141979,67.4580608467454,7.62446208745311e-24,5.29924396804384e-23,10.0683523532316
"ENSG00000272604","",6.781774834206,110.0316559244,"110.0316559244",-2.22601172766586,192.038394657537,7.63086884629673e-24,5.30144572479562e-23,10.0682697291251
"ENSG00000205683","DPF3",9.11965508234125,556.275240151358,"556.275240151358",-1.30162077463908,64.0285842188058,7.88561652738234e-24,5.47610400170531e-23,10.0650388847538
"ENSG00000237457","LINC01351",5.67803717689646,51.1987675404593,"51.1987675404593",-2.66370738350132,61.3728998434762,7.97308215696835e-24,5.53449570590577e-23,10.0639533948792
"ENSG00000244357","RN7SL145P",2.84700275714825,7.1950402476789,"7.1950402476789",-3.77984010339047,19.445840515884,7.99348578826255e-24,5.54630671395852e-23,10.0637018729077
"ENSG00000105401","CDC37",-0.754144336137484,0.592897929561162,"-1.68663095305487",7.0403499151089,-19.4439940419144,8.02475466398727e-24,5.56564340424338e-23,-10.0633176429107
"ENSG00000143674","MAP3K21",7.87035782539276,233.99888178949,"233.99888178949",-1.79267653916174,83.2440990149212,8.0840815652478e-24,5.60441537738145e-23,10.0625926960001
"ENSG00000230457","PA2G4P4",-9.24933014577049,0.00164313855562553,"-608.591403674602",0.702899787416868,-36.003642308328,8.16252831674001e-24,5.65640404269265e-23,-10.0616421616774
"ENSG00000183020","AP2A2",0.621224520403572,1.53818019299012,"1.53818019299012",7.03311687379931,19.4338368604325,8.19900296400408e-24,5.67927551903592e-23,10.0612032779183
"ENSG00000167515","TRAPPC2L",-0.652796468258237,0.636046228824445,"-1.5722127648618",5.23348740217189,-19.4204750380983,8.43411676228842e-24,5.83966257043726e-23,-10.058419829306
"ENSG00000156802","ATAD2",-3.20759634746091,0.108247353047357,"-9.23810118075138",6.28559593309552,-38.2201600536963,8.48828613829031e-24,5.87468361570976e-23,-10.0577894303743
"ENSG00000236083","OR13E1P",7.13877309925291,140.923958911487,"140.923958911487",-2.08446677908239,101.269480339621,8.54659303988368e-24,5.91253739969637e-23,10.0571153178149
"ENSG00000004864","SLC25A13",-2.37535445758148,0.19272899552625,"-5.18863286382769",5.72428459953427,-36.653433715757,8.82960654975505e-24,6.10574566989399e-23,-10.0539066640737
"ENSG00000163882","POLR2H",-0.835818258767504,0.560265181174368,"-1.78486908271527",5.42117912646804,-19.3980965363917,8.84338990095066e-24,6.11269450585982e-23,-10.053753008599
"ENSG00000246090","",-8.2642969788722,0.00325236078740015,"-307.468963429292",0.119054018539477,-80.5225418689337,8.95241494178653e-24,6.18544228649902e-23,-10.052545900364
"ENSG00000157890","MEGF11",9.41403652812344,682.193182927177,"682.193182927177",-1.15652286423239,65.3607433592878,8.96198180639634e-24,6.18943958679727e-23,10.052440673301
"ENSG00000174776","WDR49",7.27260453000388,154.62229324921,"154.62229324921",-2.01092030662939,87.6144059097063,9.18274421757755e-24,6.33923059271655e-23,10.0500428942408
"ENSG00000198216","CACNA1E",10.4948705136246,1443.01493236636,"1443.01493236636",-0.770575345722849,52.9550509828409,9.21202933061252e-24,6.35676627670597e-23,10.0497291156398
