"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000143443",92.3041702036307,0.752723331833404,0.0762520092913983,9.87152127305734,5.5319176858337e-23,1.0248605396913e-22
"ENSG00000143457",315.071899602537,0.078509451160637,0.0624645654241256,1.25686380154203,0.208802958203584,0.224242951241799
"ENSG00000143458",154.742765572775,0.0801950544848358,0.0827302957821792,0.96935534590595,0.332367923845326,0.351093783639902
"ENSG00000143466",72.7107512985097,-9.26850969749733,0.492562351160738,-18.816926782276,5.4876648864372e-79,2.27282638818836e-78
"ENSG00000143476",1135.97931008087,-3.72201939467852,0.0938063643341479,-39.6776852092925,0,0
"ENSG00000143479",117.552801522234,-0.16014710007136,0.0978599672549763,-1.63649247556044,0.101736559207663,0.111925258846017
"ENSG00000143486",538.929688727787,-0.508112106935282,0.0429202359577573,-11.8385208188364,2.46766700527937e-32,5.26401323373032e-32
"ENSG00000143493",680.893504942317,-1.03624642677458,0.0562768241380485,-18.4133778450725,1.02618020886736e-75,4.0571298692611e-75
"ENSG00000143494",755.722645619998,1.61058640635255,0.0972968706881123,16.5533217560031,1.51507537813062e-61,4.93507538094368e-61
"ENSG00000143498",246.178088188244,-1.07387103605576,0.0664696428125246,-16.1558117452892,1.03349098286352e-58,3.23816623420943e-58
"ENSG00000143499",649.986270108617,-1.36622493276449,0.0806816273782847,-16.9335321703266,2.54631032208911e-64,8.63434997968811e-64
"ENSG00000143514",1595.71376535938,-0.686356731331781,0.0436616695749649,-15.7198920245901,1.1051185977081e-55,3.30626598561253e-55
"ENSG00000143515",1287.25362292101,0.334614246631305,0.0591349724730849,5.65848317226499,1.52716686631484e-08,2.153029049771e-08
"ENSG00000143537",861.745842690122,0.154454183696699,0.0672858188081704,2.29549385639554,0.0217048380914477,0.0248610769685665
"ENSG00000143543",867.873069748135,0.255878146896777,0.0451495240466961,5.66734981817601,1.45023069520652e-08,2.04562013263877e-08
"ENSG00000143545",700.870267873343,-0.919329712918732,0.0956112764583487,-9.61528542419598,6.89179436789022e-22,1.25394497791938e-21
"ENSG00000143549",4197.43327075217,-1.38537815845845,0.0659037770714483,-21.0212254899521,4.19462612338579e-98,2.24959503235841e-97
"ENSG00000143553",526.442687817484,-0.146155948389718,0.039134716523439,-3.73468780084764,0.000187948195914232,0.000234888605842876
"ENSG00000143554",282.865833377779,0.0114815645311207,0.133641427247308,0.0859132139458044,0.931535407141318,0.936110728394468
"ENSG00000143569",4044.44205416522,-0.390408465226497,0.0281008218413137,-13.893133355001,6.97174414564735e-44,1.75721447760942e-43
"ENSG00000143570",1709.66112283428,-1.25840178913848,0.0441843448707565,-28.4807162541263,2.03053590650396e-178,3.40182310313786e-177
"ENSG00000143575",733.430811807423,-0.38311531477025,0.0529877536282081,-7.23026149510703,4.82064904206174e-13,7.51971633664982e-13
"ENSG00000143578",159.477242307733,-0.646470742664802,0.0979437808224296,-6.60042666554646,4.0997614927602e-11,6.15246136549912e-11
"ENSG00000143590",164.600704031229,3.04475758385325,0.119143818710712,25.5553130393285,4.79262906158867e-144,5.02857387692842e-143
"ENSG00000143612",1956.31800573883,-0.155915712820948,0.0441605549530189,-3.53065564929656,0.000414531037171867,0.000511576869217305
"ENSG00000143614",1333.73570676757,1.19376092302543,0.0384703725951876,31.0306566454924,2.08095278591526e-211,5.40651352378745e-210
"ENSG00000143621",5866.30838501853,-1.46766349728698,0.0372467242204618,-39.4038275312465,0,0
"ENSG00000143622",595.193450610103,0.252836158194252,0.0515274439713806,4.90682515388659,9.25624791805351e-07,1.24532521718478e-06
"ENSG00000143624",2386.03109663766,0.170914129884753,0.0554005512141675,3.08506190171344,0.00203509792559625,0.00244193848296748
"ENSG00000143630",746.8390118932,1.68672507585524,0.0845019204833122,19.9607898401355,1.20788052765983e-88,5.68283658428745e-88
"ENSG00000143633",226.613752684322,-0.487212604170562,0.0664372235065055,-7.33342813645508,2.24338801594005e-13,3.52092962363666e-13
"ENSG00000143641",1821.6553606979,-0.0679943956241323,0.0556769070046824,-1.22123155329756,0.221998360566378,0.23786784274355
"ENSG00000143643",448.104525834393,0.591871549069773,0.0613595598919698,9.64595492718376,5.1133041517097e-22,9.32010716650161e-22
