Ensembl	Gene.x	F2613.cl1_npcFile_P_NPC	F2613.cl2_npcFile_P_NPC	F2613.cl3_npcFile_P_NPC	F2688.cl4_npcFile_P_NPC	F2688.cl5_npcFile_P_NPC	F2688.cl6_npcFile_P_NPC	F2735.cl1_npcFile_P_NPC	F2735.cl2_npcFile_P_NPC	F2735.cl3_npcFile_P_NPC	F6136.cl1_npcFile_P_NPC	F7511.cl1_npcFile_P_NPC	F7511.cl2_npcFile_P_NPC	F7511.cl3_npcFile_P_NPC	F6281.cl1_npcFile_P_NPC	F6281.cl2_npcFile_P_NPC	F6281.cl4_npcFile_P_NPC	F5541.cl1_npcFile_C_NPC	F5541.cl2_npcFile_C_NPC	F5541.cl5_npcFile_C_NPC	F5618.cl3_npcFile_C_NPC	F5618.cl6_npcFile_C_NPC	F6119.cl1_npcFile_C_NPC	F6119.cl7_npcFile_C_NPC	F7315.cl4_npcFile_C_NPC	F7315.cl5_npcFile_C_NPC	F7647.cl1_npcFile_C_NPC	F7647.cl2_npcFile_C_NPC	F7647.cl3_npcFile_C_NPC	F7672.cl4_npcFile_C_NPC	F2613.cl1_NeurFile_P_Neur	F2613.GFP.cl1_NeurFile_P_Neur	F2735.cl2_NeurFile_P_Neur	F2735.cl3_NeurFile_P_Neur	F2735.GFP.cl2_NeurFile_P_Neur	F6281.cl1_NeurFile_P_Neur	F6281.cl4_NeurFile_P_Neur	F6281.GFP.cl1_NeurFile_P_Neur	F7511.cl2_NeurFile_P_Neur	F5541.cl2_NeurFile_C_Neur	F5541.GFP.cl2_NeurFile_C_Neur	F5618.cl3_NeurFile_C_Neur	F5618.GFP.cl6_NeurFile_C_Neur	F7647.cl1_NeurFile_C_Neur	F7647.cl3_NeurFile_C_Neur	F7672.cl5_NeurFile_C_Neur	F7672.cl6_NeurFile_C_Neur	F7672.GFP.cl5_NeurFile_C_Neur	F7672.GFP.cl6_NeurFile_C_Neur
ENSG00000163508	EOMES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000007372	PAX6	7.812545367	8.779877429	10.1336913	9.483305406	7.803906739	8.005756837	9.484641338	7.842478573	8.662688172	8.171547887	9.168551509	8.871527204	7.292444231	9.05804069	8.363331569	7.473183566	7.814378624	8.949089882	8.835930452	9.064604395	9.617759929	9.825989835	9.219848664	8.848531013	10.25160947	9.274282981	10.5792518	10.07702708	8.393747772	9.306780048	8.802377045	9.366285288	9.465905016	9.752649559	9.280769471	9.751949973	8.861541277	10.12464942	9.540644056	10.03028604	10.06668796	10.57697148	8.332232806	9.009320023	9.46796305	9.682968658	9.505509942	9.619781683
ENSG00000182968	SOX1	10.71460906	8.524349394	10.25258032	10.9129803	10.17508992	9.633540172	8.305753826	9.902924723	10.41011686	8.364334762	9.938505332	9.196939727	8.887690073	8.979700417	9.767699438	9.455312123	9.972354795	9.592390232	10.46133798	10.07179018	8.645232562	9.721143777	9.304710673	10.02966099	9.663771728	9.381234117	9.609416123	10.91328673	9.771297146	8.958150209	7.561993784	8.759810677	7.891884547	10.57339392	9.837283697	8.372739711	9.088910214	7.126115642	7.553221713	7.951238586	8.112187498	7.128756553	7.754962027	7.864217261	8.490117143	8.265589807	7.794160831	8.346105493
ENSG00000148400	NOTCH1	11.53613772	11.53823678	11.71066458	11.63020744	11.65222226	11.5689005	11.71893856	11.35301136	11.17541347	11.62427108	11.74545696	11.57452001	11.47536761	11.66205514	11.40823504	11.44553173	11.45857419	12.00026368	11.44571711	11.2891134	11.78742881	11.4587689	11.44264378	11.48535868	11.65513861	11.55903712	11.59462487	11.5973356	11.57146433	12.62920012	12.33978688	12.17118505	12.06589486	12.64629594	12.2202813	12.71350578	11.64565472	12.51825376	12.72722539	13.11537188	12.35702208	13.00309629	11.99491607	12.51284322	11.95058891	12.35996261	12.23880844	12.36346001
ENSG00000181449	SOX2	11.59274047	10.70369921	11.57584667	11.85583803	11.76237759	10.74015534	11.91448643	10.91539744	11.36020648	10.03808598	11.28029837	11.0021145	9.215825323	10.41471611	11.19643365	10.6612634	10.87163022	10.6839642	11.80842088	11.75580278	11.25532195	11.00476989	10.60821678	11.10572344	10.8532214	10.97980184	11.48190793	11.59345456	10.99641588	12.08139781	11.47053796	11.76512388	12.00192011	12.19686047	11.51600815	11.94043971	11.22267129	12.23839815	11.86479805	12.55265631	11.98919634	12.71242311	11.19081384	11.59937782	11.17998408	11.61542093	11.39062776	11.35684998
ENSG00000132688	NES	14.43199244	14.05369496	14.05809943	14.13966795	13.38760828	14.30647348	14.72531049	13.43643658	13.83546742	15.04723182	13.93928228	14.17751859	13.03942901	14.58723188	13.34254232	13.88330228	14.14893854	13.31114157	13.66565808	13.8281708	14.75404619	13.91206915	14.15320047	13.27473352	13.53675052	13.55092526	13.57963125	13.36985199	13.60509175	12.61261806	12.29589313	12.67404931	13.10756908	13.14971111	12.99068533	12.73022139	12.08597043	13.38009705	12.99462398	13.41525672	13.32230974	13.13083149	11.9280751	12.41978263	12.7556738	12.73368043	12.89709647	12.85092489
ENSG00000167281	RBFOX3	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	9.259389389	9.387131892	9.104292859	9.570129248	9.322393363	9.233057018	9.486778614	9.161911617	9.019798018	9.08061381	9.055105304	8.954980152	9.089971397	9.169042382	8.948315245	9.071801702	9.403298753	8.932786195	9.048994069
ENSG00000127152	BCL11B	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	9.654423571	8.508863335	9.56033721	9.324739878	9.312162743	9.081892124	9.160520649	9.19953917	9.201563988	8.25847538	8.569531471	8.828004004	9.031436893	9.998889727	9.302353638	9.313035246	9.157115933	9.713822487	9.273566379
ENSG00000258947	TUBB3	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	8.193739499	8.123069591	7.88804206	8.06965674	7.94021832	8.041765939	7.94558346	7.967414833	8.146810483	8.12813948	8.261902405	8.104525178	7.966632484	7.909755254	7.80647605	7.714787062	7.993449103	7.938193731	7.644323197
ENSG00000149294	NCAM1	8.923210555	9.76504734	10.1016458	9.754431071	10.75465372	9.373291589	10.06794556	10.01297597	9.781393032	9.480698704	10.1489149	10.11092576	10.56588212	10.19360719	10.49871266	9.762019356	9.57316984	10.09853688	9.622103391	10.28608739	9.735867639	9.443876713	9.403023033	10.22513141	9.872124269	9.81542543	9.96912255	9.992730558	9.904270348	14.20061225	13.98311521	14.17716213	14.26472134	14.17877544	14.18436198	14.11796622	14.03526018	13.75850643	13.55552796	13.72162789	13.97158209	13.97225295	14.20837605	13.73023574	14.16989723	14.08941194	13.92574052	13.97659981
