,msg,mnsg,nmsg,nmnsg,module_genes,total_genes,pvalue,oddsratio,FDR,-LOG(pvalue)
Neuron ID_all M0,615,7206,299,4094,7821,12214,0.034484819,1.168603439,0.284499757,0.5459181
Neuron ID_all M1,33,473,881,10827,506,12214,0.438071682,0.857395808,0.785672038,0.104758703
Neuron ID_all M2,46,373,868,10927,419,12214,0.007980843,1.552414882,0.087789268,1.056558574
Neuron ID_all M3,21,312,893,10988,333,12214,0.460440905,0.828188331,0.79971315,0.097065763
Neuron ID_all M4,18,262,896,11038,280,12214,0.566308463,0.846354978,0.90608556,0.042830791
Neuron ID_all M5,12,215,902,11085,227,12214,0.250625918,0.685963356,0.636204253,0.196403432
Neuron ID_all M6,12,272,902,11028,284,12214,0.038816766,0.539419198,0.291125744,0.535919389
Neuron ID_all M7,13,153,901,11147,166,12214,0.881420576,1.051212341,1,0
Neuron ID_all M8,14,247,900,11053,261,12214,0.232999709,0.696139781,0.616327423,0.210188508
Neuron ID_all M9,17,204,897,11096,221,12214,0.897076188,1.030847777,1,0
Neuron ID_all M10,6,111,908,11189,117,12214,0.477104232,0.666081403,0.820022899,0.08617402
Neuron ID_all M11,15,145,899,11155,160,12214,0.362021283,1.283579715,0.746668896,0.12687194
Neuron ID_all M12,13,171,901,11129,184,12214,1,0.939030825,1,0
Neuron ID_all M13,9,178,905,11122,187,12214,0.205558344,0.621422841,0.616327423,0.210188508
Neuron ID_all M14,13,223,901,11077,236,12214,0.315884175,0.716684566,0.704336336,0.152219906
Neuron ID_all M15,9,151,905,11149,160,12214,0.449888243,0.73425794,0.789697448,0.102539266
Neuron ID_all M16,11,122,903,11178,133,12214,0.738942689,1.116092542,0.982444005,0.007692193
Neuron ID_all M17,10,131,904,11169,141,12214,1,0.94313933,1,0
Neuron ID_all M18,12,163,902,11137,175,12214,0.884960956,0.908984777,1,0
Neuron ID_all M19,5,56,909,11244,61,12214,0.805305409,1.104404249,0.999063101,0.000407081
Neuron ID_all M20,10,132,904,11168,142,12214,1,0.935910667,1,0
Neuron ID_only M0,510,7311,230,4163,7821,12214,0.00440976,1.262570518,0.060634197,1.217282366
Neuron ID_only M1,21,485,719,10989,506,12214,0.070053061,0.661807698,0.361211097,0.442238916
Neuron ID_only M2,25,394,715,11080,419,12214,1,0.983281862,1,0
Neuron ID_only M3,19,314,721,11160,333,12214,0.907185081,0.936600359,1,0
Neuron ID_only M4,15,265,725,11209,280,12214,0.704591355,0.875136975,0.982444005,0.007692193
Neuron ID_only M5,9,218,731,11256,227,12214,0.207091277,0.635697266,0.616327423,0.210188508
Neuron ID_only M6,10,274,730,11200,284,12214,0.076905035,0.559995161,0.384525176,0.41507522
Neuron ID_only M7,12,154,728,11320,166,12214,0.51032639,1.211623517,0.842038544,0.074668028
Neuron ID_only M8,11,250,729,11224,261,12214,0.238270584,0.677439397,0.616327423,0.210188508
Neuron ID_only M9,14,207,726,11267,221,12214,0.777002993,1.049626907,0.993841038,0.002683074
Neuron ID_only M10,4,113,736,11361,117,12214,0.326691138,0.546412788,0.718720503,0.143439966
Neuron ID_only M11,14,146,726,11328,160,12214,0.17794444,1.496132261,0.564631397,0.248234976
Neuron ID_only M12,11,173,729,11301,184,12214,1,0.985681051,1,0
Neuron ID_only M13,6,181,734,11293,187,12214,0.12030172,0.510014743,0.474501721,0.323762208
Neuron ID_only M14,9,227,731,11247,236,12214,0.167684284,0.610003689,0.561512707,0.250640411
Neuron ID_only M15,7,153,733,11321,160,12214,0.502449535,0.70662456,0.837415892,0.077058801
Neuron ID_only M16,11,122,729,11352,133,12214,0.270847239,1.403976731,0.657508933,0.182098342
Neuron ID_only M17,8,133,732,11341,141,12214,1,0.931923899,1,0
Neuron ID_only M18,9,166,731,11308,175,12214,0.749441753,0.838697367,0.982444005,0.007692193
