Ensembl	Gene.x	F2613.cl1_npcFile_P_NPC	F2613.cl2_npcFile_P_NPC	F2613.cl3_npcFile_P_NPC	F2688.cl4_npcFile_P_NPC	F2688.cl5_npcFile_P_NPC	F2688.cl6_npcFile_P_NPC	F2735.cl1_npcFile_P_NPC	F2735.cl2_npcFile_P_NPC	F2735.cl3_npcFile_P_NPC	F6136.cl1_npcFile_P_NPC	F7511.cl1_npcFile_P_NPC	F7511.cl2_npcFile_P_NPC	F7511.cl3_npcFile_P_NPC	F6281.cl1_npcFile_P_NPC	F6281.cl2_npcFile_P_NPC	F6281.cl4_npcFile_P_NPC	F5541.cl1_npcFile_C_NPC	F5541.cl2_npcFile_C_NPC	F5541.cl5_npcFile_C_NPC	F5618.cl3_npcFile_C_NPC	F5618.cl6_npcFile_C_NPC	F6119.cl1_npcFile_C_NPC	F6119.cl7_npcFile_C_NPC	F7315.cl4_npcFile_C_NPC	F7315.cl5_npcFile_C_NPC	F7647.cl1_npcFile_C_NPC	F7647.cl2_npcFile_C_NPC	F7647.cl3_npcFile_C_NPC	F7672.cl4_npcFile_C_NPC	F2613.cl1_NeurFile_P_Neur	F2613.GFP.cl1_NeurFile_P_Neur	F2735.cl2_NeurFile_P_Neur	F2735.cl3_NeurFile_P_Neur	F2735.GFP.cl2_NeurFile_P_Neur	F6281.cl1_NeurFile_P_Neur	F6281.cl4_NeurFile_P_Neur	F6281.GFP.cl1_NeurFile_P_Neur	F7511.cl2_NeurFile_P_Neur	F5541.cl2_NeurFile_C_Neur	F5541.GFP.cl2_NeurFile_C_Neur	F5618.cl3_NeurFile_C_Neur	F5618.GFP.cl6_NeurFile_C_Neur	F7647.cl1_NeurFile_C_Neur	F7647.cl3_NeurFile_C_Neur	F7672.cl5_NeurFile_C_Neur	F7672.cl6_NeurFile_C_Neur	F7672.GFP.cl5_NeurFile_C_Neur	F7672.GFP.cl6_NeurFile_C_Neur
ENSG00000164398	ACSL6	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	9.149638636	8.848133102	9.182456313	9.582508903	8.687851886	9.035965949	8.962166189	9.244967062	8.975195564	7.872001102	8.33555455	8.489220215	8.126242471	8.739431	8.175073247	8.629885165	8.772029952	8.332160964	8.342493567
ENSG00000103740	ACSBG1	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03
ENSG00000176734	TRIL	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03
ENSG00000135744	AGT	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	11.64328636	10.0767619	8.207345124	8.15722253	8.54520868	9.193058344	9.869093928	8.523795371	8.924368642	9.499844982	9.29151595	9.218658	8.540381935	10.23265946	8.322365529	9.05223596	9.168450577	8.937968707	9.96436428
ENSG00000170075	GPR37L1	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03
ENSG00000080493	SLC4A4	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	9.898052867	8.669906455	9.645497918	10.44705709	9.217358842	9.079503107	9.402662859	9.280921251	9.734017218	7.906180287	8.623965761	8.779155744	9.81321137	8.742215096	8.94314148	8.5707407	9.43278468	8.812286339	8.555048595
ENSG00000169006	NTSR2	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03
ENSG00000132164	SLC6A11	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	9.37851839	9.231743402	8.350809726	9.837569068	8.839377504	8.79900006	9.219193963	8.717060423	8.967657986	7.602423499	7.771379161	7.469455972	8.118718995	9.268301619	10.13976379	8.215617682	9.591097156	8.227333368	9.210207779
ENSG00000126803	HSPA2	7.235695069	7.462952638	7.210974944	7.390022515	7.563402966	8.148393012	7.221402547	7.470030406	7.348605342	7.537296812	7.355743351	7.010913856	7.36075295	7.193340746	6.952580624	7.319767073	7.610147517	7.156644057	6.619592212	7.3354645	8.751884453	7.830783605	7.641116328	7.073927629	7.039321846	7.383627468	7.287110369	7.474962144	7.730170578	6.91481085	6.785994935	7.389158382	7.900274231	8.96991435	6.936570247	7.326537543	6.969466278	7.980849587	7.602423499	7.875895262	7.636838706	8.29925615	8.615772362	7.445120069	7.882773807	7.309245908	8.144160503	7.558076157
ENSG00000147100	SLC16A2	8.17224003	9.060226481	9.2928667	8.854652562	8.803872736	8.954121214	8.615720743	9.092369806	8.548267443	8.828326524	9.157497413	9.082950769	9.37548648	9.597736433	9.256828163	8.70508778	8.45116521	9.312445519	8.629718839	9.546476328	8.650994053	9.357890339	9.31679922	9.045951915	9.643358109	8.937720591	9.494536028	9.229916916	8.889702036	10.17867335	10.32815553	10.40291039	10.38678686	10.16036702	10.33492142	10.21903002	10.22139301	10.09708238	10.13955679	9.923329961	10.07333796	10.18888851	10.02350039	10.37995952	10.26911414	9.979775419	10.03820496	10.47767304
