"Ensembl" "Gene" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "z.std"
"18" "ENSG00000261829" "" 1.16223837165275 0.573420412433298 5.22127430390436 6.91533321570224e-05 0.0528239822938321 3.97918013192534
"19" "ENSG00000134686" "PHC2" -0.284877351668735 7.43891567756061 -5.20045729486576 7.21970122339885e-05 0.0528239822938321 -3.96892693698595
"20" "ENSG00000182718" "ANXA2" -0.683356448838564 7.14697412752581 -5.18768193015895 7.41326900595799e-05 0.0528239822938321 -3.96261689301944
"21" "ENSG00000135144" "DTX1" 0.39883728051611 6.16506819733195 5.17228713094654 7.6536212619707e-05 0.0528239822938321 3.95499512426935
"22" "ENSG00000198467" "TPM2" -0.533495973765724 5.91513304636977 -5.16724233192491 7.73411160963867e-05 0.0528239822938321 -3.95249323572507
"23" "ENSG00000144476" "ACKR3" 0.706660244648865 4.09884122702046 5.10236226229161 8.85020258716917e-05 0.0573958322400386 3.92012779346006
"24" "ENSG00000088930" "XRN2" -0.205835630108175 6.91979259669441 -5.0417942746195 0.000100412283323357 0.0573958322400386 -3.88959348358855
"25" "ENSG00000198538" "ZNF28" -0.218226570131204 4.374445733107 -5.03868143313898 0.000101067061121281 0.0573958322400386 -3.88801577113601
"26" "ENSG00000143797" "MBOAT2" 0.180099551208481 7.1088254255909 5.03797556249533 0.000101216146651801 0.0573958322400386 3.88765789254936
"27" "ENSG00000131398" "KCNC3" 0.779361959050606 4.57756990164702 5.02899022194076 0.000103133732895051 0.0573958322400386 3.8830985743119
"28" "ENSG00000177301" "KCNA2" 0.993602871306869 2.17813132922757 4.99045114448269 0.000111790104152521 0.0599913608927067 3.86346459112476
"29" "ENSG00000178171" "AMER3" 0.677962827099676 4.49787325923183 4.95585550819038 0.000120193860630816 0.0610963857472935 3.84573040446233
"30" "ENSG00000105696" "TMEM59L" 0.27985757290345 7.17876735358744 4.94002704057229 0.00012425182943496 0.0610963857472935 3.83758184262832
"31" "ENSG00000173706" "HEG1" -0.553209492110048 7.15554189970144 -4.9287036847063 0.000127240626640704 0.0610963857472935 -3.83173911291431
"32" "ENSG00000163041" "H3F3A" -0.20202810623078 8.37772527055149 -4.89681121496514 0.000136060264980971 0.0610963857472935 -3.81522252937991
"33" "ENSG00000228506" "" -0.592492952335546 1.72755945101469 -4.89581444668913 0.00013634577929147 0.0610963857472935 -3.81470487794786
"34" "ENSG00000109381" "ELF2" -0.183309959977268 5.96721746894762 -4.87983841108656 0.000141006500277627 0.0610963857472935 -3.80639608109254
"35" "ENSG00000261349" "" -0.674167491769217 0.0282379096722147 -4.87118398218063 0.000143598991557464 0.0610963857472935 -3.8018856720044
"36" "ENSG00000119878" "CRIPT" -0.243034336426358 4.25999176599894 -4.86208383213138 0.000146377604612177 0.0610963857472935 -3.79713580663646
"37" "ENSG00000080608" "PUM3" -0.404445120351757 3.96587727077734 -4.79996648355033 0.00016687187212279 0.0677680202842442 -3.76451616724652
"38" "ENSG00000107796" "ACTA2" -1.55332044412913 4.77696723758109 -4.78619599713588 0.000171799078559824 0.067932972485261 -3.75723801159594
"39" "ENSG00000269975" NA 0.36350727605781 4.5319364716586 4.73557187216507 0.000191226138520199 0.0723856857565124 3.73033395067843
"40" "ENSG00000140830" "TXNL4B" -0.21208648607489 3.86348144903886 -4.73196155076933 0.00019269449156532 0.0723856857565124 -3.72840634947786
"41" "ENSG00000004487" "KDM1A" -0.148005578789654 8.13565527171781 -4.67905610324849 0.000215580468598313 0.079007612711177 -3.7000223634945
"42" "ENSG00000197622" "CDC42SE1" -0.131556904133117 6.48790743151632 -4.58960156276306 0.000260774053107289 0.0932477020345376 -3.6514399742799
"43" "ENSG00000133134" "BEX2" 0.354930701099211 5.86850335111 4.5788017525078 0.00026684754342374 0.0932477020345376 3.64552396617795
