"Ensembl" "moduleColor" "moduleLabel"
"ENSG00000034677" "grey60" "M6"
"ENSG00000034693" "grey" "M0"
"ENSG00000034713" "grey" "M0"
"ENSG00000035115" "grey" "M0"
"ENSG00000035141" "grey" "M0"
"ENSG00000035403" "purple" "M18"
"ENSG00000035499" "brown" "M11"
"ENSG00000035681" "grey" "M0"
"ENSG00000035687" "grey" "M0"
"ENSG00000035862" "magenta" "M17"
"ENSG00000035928" "grey" "M0"
"ENSG00000036054" "grey" "M0"
"ENSG00000036257" "grey" "M0"
"ENSG00000036448" "red" "M14"
"ENSG00000036530" "tan" "M2"
"ENSG00000036549" "grey" "M0"
"ENSG00000036672" "grey" "M0"
"ENSG00000037042" "lightcyan" "M5"
"ENSG00000037241" "grey" "M0"
"ENSG00000037474" "grey" "M0"
"ENSG00000037637" "grey" "M0"
"ENSG00000037749" "grey" "M0"
"ENSG00000037757" "purple" "M18"
"ENSG00000037897" "grey" "M0"
"ENSG00000037965" "salmon" "M20"
"ENSG00000038002" "grey" "M0"
"ENSG00000038210" "tan" "M2"
"ENSG00000038219" "grey" "M0"
"ENSG00000038274" "purple" "M18"
"ENSG00000038358" "grey" "M0"
"ENSG00000038382" "grey" "M0"
"ENSG00000038427" "grey" "M0"
"ENSG00000038532" "grey" "M0"
"ENSG00000039068" "cyan" "M3"
"ENSG00000039123" "grey" "M0"
"ENSG00000039319" "grey" "M0"
"ENSG00000039523" "cyan" "M3"
"ENSG00000039560" "grey" "M0"
"ENSG00000039650" "grey" "M0"
"ENSG00000040199" "grey" "M0"
"ENSG00000040275" "grey" "M0"
"ENSG00000040341" "tan" "M2"
"ENSG00000040487" "grey" "M0"
"ENSG00000040531" "grey" "M0"
"ENSG00000040608" "grey" "M0"
"ENSG00000040633" "purple" "M18"
"ENSG00000040731" "turquoise" "M1"
"ENSG00000040933" "grey" "M0"
"ENSG00000041353" "tan" "M2"
"ENSG00000041357" "royalblue" "M9"
